,Author,Affiliation,Publication Date,Journal Title,Title,URL
254,Donghoon Lee,"Economics Department, New York University",2005/02/01,International Economic Review,"AN ESTIMABLE DYNAMIC GENERAL EQUILIBRIUM MODEL OF WORK, SCHOOLING, AND OCCUPATIONAL CHOICE*",https://onlinelibrary.wiley.com/doi/10.1111/j.0020-6598.2005.00308.x
255,John Hassler; José V. Rodríguez Mora; Kjetil Storesletten; Fabrizio Zilibotti,"IIES and CEPR, Sweden; Universitat Pompeu Fabra CREA and CEPR, Spain; University of Oslo, IIES, and CEPR, Norway; and IIES and CEPR, Sweden; IIES and CEPR, Sweden; Universitat Pompeu Fabra CREA and CEPR, Spain; University of Oslo, IIES, and CEPR, Norway; and IIES and CEPR, Sweden; IIES and CEPR, Sweden; Universitat Pompeu Fabra CREA and CEPR, Spain; University of Oslo, IIES, and CEPR, Norway; and IIES and CEPR, Sweden; IIES and CEPR, Sweden; Universitat Pompeu Fabra CREA and CEPR, Spain; University of Oslo, IIES, and CEPR, Norway; and IIES and CEPR, Sweden",2005/02/01,International Economic Review,A POSITIVE THEORY OF GEOGRAPHIC MOBILITY AND SOCIAL INSURANCE*,https://onlinelibrary.wiley.com/doi/10.1111/j.0020-6598.2005.00318.x
256,Christian Ghiglino; Marielle Olszak-Duquenne,"Department of Economics, Queen Mary, University of London, U.K.; Department of Economics, University of Bern, Switzerland; Departement d'Econometrie, University of Geneva, Switzerland; Department of Economics, Queen Mary, University of London, U.K.; Department of Economics, University of Bern, Switzerland; Departement d'Econometrie, University of Geneva, Switzerland",2005/02/01,International Economic Review,ON THE IMPACT OF HETEROGENEITY ON INDETERMINACY*,https://onlinelibrary.wiley.com/doi/10.1111/j.0020-6598.2005.00314.x
257,Akihiko Matsui; Takashi Shimizu,"University of Tokyo, Japan; Kansai University, Japan; University of Tokyo, Japan; Kansai University, Japan",2005/02/01,International Economic Review,A THEORY OF MONEY AND MARKETPLACES*,https://onlinelibrary.wiley.com/doi/10.1111/j.0020-6598.2005.00309.x
258,Tapan Mitra; Kazuo Nishimura,"Department of Economics, Cornell University, Ithaca, U.S.A.; Institute of Economic Research, Kyoto University, Yoshidahonmachi, Sakyoku, Kyoto, Japan; Department of Economics, Cornell University, Ithaca, U.S.A.; Institute of Economic Research, Kyoto University, Yoshidahonmachi, Sakyoku, Kyoto, Japan",2005/02/01,International Economic Review,INTERTEMPORAL COMPLEMENTARITY AND OPTIMALITY: A STUDY OF A TWO-DIMENSIONAL DYNAMICAL SYSTEM*,https://onlinelibrary.wiley.com/doi/10.1111/j.0020-6598.2005.00311.x
259,Jian Tong,"University of Southampton, U.K.",2005/02/01,International Economic Review,HIGH-TECH AND HIGH CAPABILITY IN A GROWTH MODEL*,https://onlinelibrary.wiley.com/doi/10.1111/j.0020-6598.2005.00316.x
260,Elena Quercioli,"Istituto Tecnologico Autonomo de Mexico, México, D.F.",2005/02/01,International Economic Review,"TRAINING, TURNOVER, AND SEARCH*",https://onlinelibrary.wiley.com/doi/10.1111/j.0020-6598.2005.00312.x
261,Barbara Rossi,"Department of Economics, Duke University, Durham, USA",2005/02/01,International Economic Review,"TESTING LONG-HORIZON PREDICTIVE ABILITY WITH HIGH PERSISTENCE, AND THE MEESE–ROGOFF PUZZLE*",https://onlinelibrary.wiley.com/doi/10.1111/j.0020-6598.2005.00310.x
262,Robert D. Dittmar; William T. Gavin; Finn E. Kydland,"Federal Reserve Bank of St. Louis, St. Louis, U.S.A.; Federal Reserve Bank of St. Louis, St. Louis, U.S.A.; Carnegie Mellon University, Pittsburgh, U.S.A.; Federal Reserve Bank of St. Louis, St. Louis, U.S.A.; Federal Reserve Bank of St. Louis, St. Louis, U.S.A.; Carnegie Mellon University, Pittsburgh, U.S.A.; Federal Reserve Bank of St. Louis, St. Louis, U.S.A.; Federal Reserve Bank of St. Louis, St. Louis, U.S.A.; Carnegie Mellon University, Pittsburgh, U.S.A.",2005/02/01,International Economic Review,INFLATION PERSISTENCE AND FLEXIBLE PRICES*,https://onlinelibrary.wiley.com/doi/10.1111/j.0020-6598.2005.00317.x
263,James E. Anderson; Douglas Marcouiller,"Boston College and NBER, U.S.A.; Boston College and Saint Louis University, U.S.A.; Boston College and NBER, U.S.A.; Boston College and Saint Louis University, U.S.A.",2005/02/01,International Economic Review,ANARCHY AND AUTARKY: ENDOGENOUS PREDATION AS A BARRIER TO TRADE*,https://onlinelibrary.wiley.com/doi/10.1111/j.0020-6598.2005.00315.x
264,Joseph E. Harrington,"Johns Hopkins University, Baltimore, U.S.A.",2005/02/01,International Economic Review,OPTIMAL CARTEL PRICING IN THE PRESENCE OF AN ANTITRUST AUTHORITY*,https://onlinelibrary.wiley.com/doi/10.1111/j.0020-6598.2005.00313.x
265,Akihiko Matsui,"Faculty of Economics, University of Tokyo, Japan",2005/05/01,International Economic Review,"COMMENTS ON “MONEY IS PRIVACY” BY CHARLES KAHN, JAMES McANDREWS, AND WILLIAM ROBERDS: MONETARY THEORY AND GAME THEORY*",https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00324.x
266,Peter N. Ireland,"Boston College and National Bureau of Economic Research, U.S.A.",2005/05/01,International Economic Review,HETEROGENEITY AND REDISTRIBUTION: BY MONETARY OR FISCAL MEANS?*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00328.x
267,Nobuhiro Kiyotaki; John Moore,"London School of Economics, U.K.; Edinburgh University and London School of Economics, U.K.; London School of Economics, U.K.; Edinburgh University and London School of Economics, U.K.",2005/05/01,International Economic Review,2002 LAWRENCE R. KLEIN LECTURE LIQUIDITY AND ASSET PRICES*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00320.x
268,Edward C. Prescott,Arizona State University and Federal Reserve Bank of Minneapolis,2005/05/01,International Economic Review,"COMMENTS ON “INFLATION, OUTPUT, AND WELFARE” BY RICARDO LAGOS AND GUILLAUME ROCHETEAU*",https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00332.x
269,Shouyong Shi,"Department of Economics, University of Toronto, Canada",2005/05/01,International Economic Review,NOMINAL BONDS AND INTEREST RATES*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00335.x
270,Dale T. Mortensen,Northwestern University,2005/05/01,International Economic Review,"A COMMENT ON “PRICE DISPERSION, INFLATION, AND WELFARE” BY A. HEAD AND A. KUMAR*",https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00334.x
271,Ricardo De O. Cavalcanti; Andrés Erosa; Ted Temzelides,"Getulio Vargas Foundation, Brazil; University of Toronto, Canada; University of Pittsburgh, U.S.A.; Getulio Vargas Foundation, Brazil; University of Toronto, Canada; University of Pittsburgh, U.S.A.; Getulio Vargas Foundation, Brazil; University of Toronto, Canada; University of Pittsburgh, U.S.A.",2005/05/01,International Economic Review,"LIQUIDITY, MONEY CREATION AND DESTRUCTION, AND THE RETURNS TO BANKING*",https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00341.x
272,Narayana R. Kocherlakota,"Stanford University, Federal Reserve Bank of Minneapolis, and NBER, U.S.A.",2005/05/01,International Economic Review,OPTIMAL MONETARY POLICY: WHAT WE KNOW AND WHAT WE DON'T KNOW*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00343.x
273,Aleksander Berentsen; Gabriele Camera; Christopher Waller,"University of Basel, Switzerland; Purdue University, U.S.A.; University of Notre Dame, U.S.A.; University of Basel, Switzerland; Purdue University, U.S.A.; University of Notre Dame, U.S.A.; University of Basel, Switzerland; Purdue University, U.S.A.; University of Notre Dame, U.S.A.",2005/05/01,International Economic Review,THE DISTRIBUTION OF MONEY BALANCES AND THE NONNEUTRALITY OF MONEY*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00329.x
274,David K. Levine,"University of California, U.S.A.",2005/05/01,International Economic Review,COMMENTS ON GREEN–ZHOU “MONEY AS A MECHANISM IN A BEWLEY ECONOMY”*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00322.x
275,Randall Wright,"University of Pennsylvania, U.S.A.",2005/05/01,International Economic Review,INTRODUCTION TO “MODELS OF MONETARY ECONOMIES II: THE NEXT GENERATION”*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00319.x
276,"
            Narayana R. Kocherlakota","Stanford University, Federal Reserve Bank of Minneapolis, NBER, U.S.A.",2005/05/01,International Economic Review,Discussion of “From Private Banking to Central Banking: Ingredients of a Welfare Analysis”*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00338.x
277,Ricardo Lagos; Guillaume Rocheteau,Federal Reserve Bank of Minneapolis and New York University; Federal Reserve Bank of Cleveland and Australian National University; Federal Reserve Bank of Minneapolis and New York University; Federal Reserve Bank of Cleveland and Australian National University,2005/05/01,International Economic Review,"INFLATION, OUTPUT, AND WELFARE*",https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00331.x
278,Dean Corbae,The University of Texas at Austin,2005/05/01,International Economic Review,COMMENTS ON HOWITT'S “BEYOND SEARCH: FIAT MONEY IN ORGANIZED EXCHANGE”*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00326.x
279,Warren E. Weber,Federal Reserve Bank of Minneapolis,2005/05/01,International Economic Review,COMMENTS ON “NOMINAL BONDS AND INTEREST RATES” BY SHOUYONG SHI*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00336.x
280,Ping He; Lixin Huang; Randall Wright,University of Illinois at Chicago; City University of Hong Kong; University of Pennsylvania; University of Illinois at Chicago; City University of Hong Kong; University of Pennsylvania; University of Illinois at Chicago; City University of Hong Kong; University of Pennsylvania,2005/05/01,International Economic Review,MONEY AND BANKING IN SEARCH EQUILIBRIUM*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00339.x
281,Stephen D. Williamson,"Department of Economics, University of Iowa, U.S.A.",2005/05/01,International Economic Review,"COMMENT ON “THE DISTRIBUTION OF MONEY BALANCES AND THE NONNEUTRALITY OF MONEY,” BY ALEKSANDER BERENTSEN, GABRIELE CAMERA, AND CHRISTOPHER WALLER*",https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00330.x
282,V. V. Chari,University of Minnesota and Federal Reserve Bank of Minneapolis,2005/05/01,International Economic Review,"DISCUSSION OF HE, HUANG, AND WRIGHT'S “MONEY AND BANKING IN SEARCH EQUILIBRIUM”*",https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00340.x
283,Neil Wallace,The Pennsylvania State University,2005/05/01,International Economic Review,FROM PRIVATE BANKING TO CENTRAL BANKING: INGREDIENTS OF A WELFARE ANALYSIS*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00337.x
284,Charles M. Kahn; James McAndrews; William Roberds,"Department of Finance, University of Illinois; Research Department, Federal Reserve Bank of New York; Research Department, Federal Reserve Bank of Atlanta, U.S.A.; Department of Finance, University of Illinois; Research Department, Federal Reserve Bank of New York; Research Department, Federal Reserve Bank of Atlanta, U.S.A.; Department of Finance, University of Illinois; Research Department, Federal Reserve Bank of New York; Research Department, Federal Reserve Bank of Atlanta, U.S.A.",2005/05/01,International Economic Review,MONEY IS PRIVACY*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00323.x
285,Joydeep Bhattacharya; Joseph H. Haslag; Antoine Martin,"Iowa State University; University of Missouri; Federal Reserve Bank of New York, U.S.A.; Iowa State University; University of Missouri; Federal Reserve Bank of New York, U.S.A.; Iowa State University; University of Missouri; Federal Reserve Bank of New York, U.S.A.",2005/05/01,International Economic Review,"HETEROGENEITY, REDISTRIBUTION, AND THE FRIEDMAN RULE*",https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00327.x
286,Andrew Atkeson,"University of California at Los Angeles, National Bureau of Economic Research, and the Federal Reserve Bank of Minneapolis, U.S.A.",2005/05/01,International Economic Review,"DISCUSSION OF “LIQUIDITY, MONEY CREATION AND DESTRUCTION, AND THE RETURNS TO BANKING” BY CAVALCANTI, EROSA, AND TEMZELIDES*",https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00342.x
287,Peter Howitt,"Brown University, U.S.A.",2005/05/01,International Economic Review,BEYOND SEARCH: FIAT MONEY IN ORGANIZED EXCHANGE*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00325.x
288,Edward J. Green; Ruilin Zhou,"Pennsylvania State University, U.S.A.; Pennsylvania State University, U.S.A.",2005/05/01,International Economic Review,MONEY AS A MECHANISM IN A BEWLEY ECONOMY*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00321.x
289,Allen Head; Alok Kumar,"Queen's University, Canada; University of Victoria, Canada; Queen's University, Canada; University of Victoria, Canada",2005/05/01,International Economic Review,"PRICE DISPERSION, INFLATION, AND WELFARE*",https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00333.x
290,Susheng Wang; Tian Zhu,"Hong Kong University of Science and Technology, Hong Kong; Hong Kong University of Science and Technology, Hong Kong",2005/08/01,International Economic Review,"CONTROL ALLOCATION, REVENUE SHARING, AND JOINT OWNERSHIP*",https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00350.x
291,Songqing Jin; Scott Rozelle; Julian Alston; Jikun Huang,"World Bank; University of California–Davis, U.S.A.; University of California–Davis, U.S.A.; Center for Chinese Agricultural Policy, Chinese Academy of Sciences, People's Republic of China; World Bank; University of California–Davis, U.S.A.; University of California–Davis, U.S.A.; Center for Chinese Agricultural Policy, Chinese Academy of Sciences, People's Republic of China; World Bank; University of California–Davis, U.S.A.; University of California–Davis, U.S.A.; Center for Chinese Agricultural Policy, Chinese Academy of Sciences, People's Republic of China; World Bank; University of California–Davis, U.S.A.; University of California–Davis, U.S.A.; Center for Chinese Agricultural Policy, Chinese Academy of Sciences, People's Republic of China",2005/08/01,International Economic Review,ECONOMIES OF SCALE AND SCOPE AND THE ECONOMIC EFFICIENCY OF CHINA'S AGRICULTURAL RESEARCH SYSTEM*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00356.x
292,Rasmus Lentz; Dale T. Mortensen,"Boston University, U.S.A.; Northwestern University, U.S.A.; Boston University, U.S.A.; Northwestern University, U.S.A.",2005/08/01,International Economic Review,PRODUCTIVITY GROWTH AND WORKER REALLOCATION*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00344.x
293,Klaus Wälde,"European Commission and University of Dresden, CESifo and IRES, Belgium",2005/08/01,International Economic Review,ENDOGENOUS GROWTH CYCLES*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00349.x
294,Simon Grant; Edi Karni,"Rice University, U.S.A.; Johns Hopkins University, U.S.A.; Rice University, U.S.A.; Johns Hopkins University, U.S.A.",2005/08/01,International Economic Review,WHY DOES IT MATTER THAT BELIEFS AND VALUATIONS BE CORRECTLY REPRESENTED?*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00351.x
295,Alain Desdoigts; Fabien Moizeau,"EUREQua, Université de Paris 1, Panthéon-Sorbonne, and LEG, Université de Bourgogne, France; GREMAQ, Université de Toulouse 1, France; EUREQua, Université de Paris 1, Panthéon-Sorbonne, and LEG, Université de Bourgogne, France; GREMAQ, Université de Toulouse 1, France",2005/08/01,International Economic Review,COMMUNITY MEMBERSHIP ASPIRATIONS: THE LINK BETWEEN INEQUALITY AND REDISTRIBUTION REVISITED*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00354.x
296,Morris A. Davis; E. Michael Foster,"Federal Reserve Board, U.S.A.; Pennsylvania State University, U.S.A.; Federal Reserve Board, U.S.A.; Pennsylvania State University, U.S.A.",2005/08/01,International Economic Review,A STOCHASTIC DYNAMIC MODEL OF THE MENTAL HEALTH OF CHILDREN*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00348.x
297,Gianni De Fraja,"University of Leicester and CEPR, U.K.",2005/08/01,International Economic Review,REVERSE DISCRIMINATION AND EFFICIENCY IN EDUCATION*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00355.x
298,Leonardo Rocha Souza,"Catholic University, Rio de Janeiro, Brazil",2005/08/01,International Economic Review,A NOTE ON CHAMBERS'S “LONG MEMORY AND AGGREGATION IN MACROECONOMIC TIME SERIES”*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00357.x
299,Dirk Krueger; Jessica Tjornhom Donohue,"Goethe University Frankfurt, University of Pennsylvania, CEPR, and NBER, U.S.A.; State Street Associates, U.S.A.; Goethe University Frankfurt, University of Pennsylvania, CEPR, and NBER, U.S.A.; State Street Associates, U.S.A.",2005/08/01,International Economic Review,ON THE DISTRIBUTIONAL CONSEQUENCES OF CHILD LABOR LEGISLATION*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00346.x
300,Matthew F. Mitchell,"University of Iowa, U.S.A.",2005/08/01,International Economic Review,SPECIALIZATION AND THE SKILL PREMIUM IN THE 20TH CENTURY*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00352.x
301,Jay Pil Choi; Marcel Thum,"Michigan State University, USA, and CESifo, Germany; Dresden University of Technology and CESifo, Germany; Michigan State University, USA, and CESifo, Germany; Dresden University of Technology and CESifo, Germany",2005/08/01,International Economic Review,CORRUPTION AND THE SHADOW ECONOMY*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00347.x
302,Yuk-fai Fong; Balázs Szentes,"Northwestern University, U.S.A.; University of Chicago, U.S.A.; Northwestern University, U.S.A.; University of Chicago, U.S.A.",2005/08/01,International Economic Review,COMPENSATION FOR QUALITY DIFFERENCE IN A SEARCH MODEL OF MONEY*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00353.x
303,Morris A. Davis; Jonathan Heathcote,"Board of Governors of the Federal Reserve System, U.S.A.; Georgetown University, U.S.A.; Board of Governors of the Federal Reserve System, U.S.A.; Georgetown University, U.S.A.",2005/08/01,International Economic Review,HOUSING AND THE BUSINESS CYCLE*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00345.x
304,Anke S. Kessler; Christoph Lülfesmann; Patrick W. Schmitz,"Simon Fraser University, Canada; Simon Fraser University, Canada; University of Bonn, Germany; Simon Fraser University, Canada; Simon Fraser University, Canada; University of Bonn, Germany; Simon Fraser University, Canada; Simon Fraser University, Canada; University of Bonn, Germany",2005/11/01,International Economic Review,ENDOGENOUS PUNISHMENTS IN AGENCY WITH VERIFIABLE EX POST INFORMATION*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00365.x
305,Eugenio J. Miravete,"University of Pennsylvania and CEPR, U.S.A.",2005/11/01,International Economic Review,THE WELFARE PERFORMANCE OF SEQUENTIAL PRICING MECHANISMS*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00369.x
306,Daniel J. Henderson; R. Robert Russell,"Department of Economics, State University of New York at Binghamton, U.S.A.; Department of Economics, University of California, Riverside, U.S.A.; Department of Economics, State University of New York at Binghamton, U.S.A.; Department of Economics, University of California, Riverside, U.S.A.",2005/11/01,International Economic Review,HUMAN CAPITAL AND CONVERGENCE: A PRODUCTION-FRONTIER APPROACH*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00364.x
307,Takao Ohkawa; Makoto Okamura; Noritsugu Nakanishi; Kazuharu Kiyono,"Faculty of Economics, Ritsumeikan University, Japan; Economics Department, Hiroshima University, Japan; Graduate School of Economics, Kobe University, Japan; School of Political Science and Economics, Waseda University, Japan; Faculty of Economics, Ritsumeikan University, Japan; Economics Department, Hiroshima University, Japan; Graduate School of Economics, Kobe University, Japan; School of Political Science and Economics, Waseda University, Japan; Faculty of Economics, Ritsumeikan University, Japan; Economics Department, Hiroshima University, Japan; Graduate School of Economics, Kobe University, Japan; School of Political Science and Economics, Waseda University, Japan; Faculty of Economics, Ritsumeikan University, Japan; Economics Department, Hiroshima University, Japan; Graduate School of Economics, Kobe University, Japan; School of Political Science and Economics, Waseda University, Japan",2005/11/01,International Economic Review,THE MARKET SELECTS THE WRONG FIRMS IN THE LONG RUN*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00363.x
308,Giuseppe Bertola; Stefan Hochguertel; Winfried Koeniger,"Università di Torino, Italy; Free University Amsterdam, The Netherlands; IZA, Bonn, Germany; Università di Torino, Italy; Free University Amsterdam, The Netherlands; IZA, Bonn, Germany; Università di Torino, Italy; Free University Amsterdam, The Netherlands; IZA, Bonn, Germany",2005/11/01,International Economic Review,DEALER PRICING OF CONSUMER CREDIT*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00362.x
309,Graham Elliott; Allan Timmermann,"University of California San Diego, U.S.A.; University of California San Diego, U.S.A.",2005/11/01,International Economic Review,OPTIMAL FORECAST COMBINATION UNDER REGIME SWITCHING*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00361.x
310,Steeve Mongrain; Joanne Roberts,"Department of Economics, Simon Fraser University, Canada; Department of Economics, University of Toronto, Canada; Department of Economics, Simon Fraser University, Canada; Department of Economics, University of Toronto, Canada",2005/11/01,International Economic Review,UNEMPLOYMENT INSURANCE AND EXPERIENCE RATING: INSURANCE VERSUS EFFICIENCY*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00368.x
311,Tracy R. Lewis; Huseyin Yildirim,"Duke University, U.S.A.; Duke University, U.S.A.",2005/11/01,International Economic Review,MANAGING SWITCHING COSTS IN MULTIPERIOD PROCUREMENTS WITH STRATEGIC BUYERS*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00366.x
312,Peter N. Ireland,"Boston College and National Bureau of Economic Research, U.S.A.",2005/11/01,International Economic Review,"THE LIQUIDITY TRAP, THE REAL BALANCE EFFECT, AND THE FRIEDMAN RULE*",https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00367.x
313,Edward C. Prescott; José-Víctor Ríos-Rull,"Federal Reserve Bank of Minneapolis and Arizona State University, U.S.A.; University of Pennsylvania, Centro de Análisis y Estudios Ríos Pérez, Centre for Economic Policy Research, and National Bureau of Economic Research, U.S.A.; Federal Reserve Bank of Minneapolis and Arizona State University, U.S.A.; University of Pennsylvania, Centro de Análisis y Estudios Ríos Pérez, Centre for Economic Policy Research, and National Bureau of Economic Research, U.S.A.",2005/11/01,International Economic Review,ON EQUILIBRIUM FOR OVERLAPPING GENERATIONS ORGANIZATIONS*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2005.00360.x
314,Olivier Gossner; Nicolas Melissas,"CERAS, Paris, France; University of Leicester, U.K.; CERAS, Paris, France; University of Leicester, U.K.",2006/02/01,International Economic Review,INFORMATIONAL CASCADES ELICIT PRIVATE INFORMATION*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2006.00380.x
315,Xavier Cuadras-Morató; Xavier Mateos-Planas,"Universitat Pompeu Fabra, Spain; University of Southampton, U.K.; Universitat Pompeu Fabra, Spain; University of Southampton, U.K.",2006/02/01,International Economic Review,SKILL BIAS AND EMPLOYMENT FRICTIONS IN THE U.S. LABOR MARKET 1970–1990*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2006.00375.x
316,Matthew Haag; Roger Lagunoff,"The University of Warwick, UK; Georgetown University, U.S.A.; The University of Warwick, UK; Georgetown University, U.S.A.",2006/02/01,International Economic Review,"SOCIAL NORMS, LOCAL INTERACTION, AND NEIGHBORHOOD PLANNING*",https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2006.00379.x
317,Yongsung Chang; Sun-Bin Kim,"School of Economics, Seoul National University, Korea, and Federal Reserve Bank of Richmond, U.S.A.; Department of Economics, Concordia University, Canada; School of Economics, Seoul National University, Korea, and Federal Reserve Bank of Richmond, U.S.A.; Department of Economics, Concordia University, Canada",2006/02/01,International Economic Review,FROM INDIVIDUAL TO AGGREGATE LABOR SUPPLY: A QUANTITATIVE ANALYSIS BASED ON A HETEROGENEOUS AGENT MACROECONOMY*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2006.00370.x
318,Ingela Alger; Régis Renault,"Boston College, U.S.A.; THEMA Université de Cergy-Pontoise, and Institut Universitaire de France, France; Boston College, U.S.A.; THEMA Université de Cergy-Pontoise, and Institut Universitaire de France, France",2006/02/01,International Economic Review,SCREENING ETHICS WHEN HONEST AGENTS CARE ABOUT FAIRNESS*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2006.00372.x
319,Tsunao Okumura,"International Graduate School of Social Sciences, Yokohama National University, Japan and Department of Economics, Northwestern University, U.S.A.",2006/02/01,International Economic Review,WEALTH AS A SIGNAL IN THE SEARCH MODEL OF MONEY*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2006.00373.x
320,Sílvio Rendon,"Centro de Investigación Económica - Instituto Tecnológico Autónomo de México (ITAM), Mexico",2006/02/01,International Economic Review,JOB SEARCH AND ASSET ACCUMULATION UNDER BORROWING CONSTRAINTS*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2006.00378.x
321,Kamal Saggi,"Department of Economics, Southern Methodist University, Dallas U.S.A.",2006/02/01,International Economic Review,PREFERENTIAL TRADE AGREEMENTS AND MULTILATERAL TARIFF COOPERATION*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2006.00371.x
322,Richard Engelbrecht-Wiggans; John A. List; David H. Reiley,University of Illinois; University of Chicago; University of Arizona; University of Illinois; University of Chicago; University of Arizona; University of Illinois; University of Chicago; University of Arizona,2006/02/01,International Economic Review,DEMAND REDUCTION IN MULTI-UNIT AUCTIONS WITH VARYING NUMBERS OF BIDDERS: THEORY AND EVIDENCE FROM A FIELD EXPERIMENT*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2006.00377.x
323,Stephen D. Williamson,"Department of Economics, University of Iowa, U.S.A.",2006/02/01,International Economic Review,"SEARCH, LIMITED PARTICIPATION, AND MONETARY POLICY*",https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2006.00374.x
324,Daniel A. Ackerberg; Matilde P. Machado; Michael H. Riordan,"University of California, Los Angeles, U.S.A.; Universidad Carlos III de Madrid and CEPR, Spain; Columbia University, U.S.A.; University of California, Los Angeles, U.S.A.; Universidad Carlos III de Madrid and CEPR, Spain; Columbia University, U.S.A.; University of California, Los Angeles, U.S.A.; Universidad Carlos III de Madrid and CEPR, Spain; Columbia University, U.S.A.",2006/02/01,International Economic Review,BENCHMARKING FOR PRODUCTIVITY IMPROVEMENT: A HEALTH-CARE APPLICATION*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2006.00376.x
325,"
            Marcus J. Chambers; J. Roderick McCrorie","University of Essex, U.K.; University of Leicester, U.K.; University of Essex, U.K.; University of Leicester, U.K.",2006/05/01,International Economic Review,IDENTIFICATION AND ESTIMATION OF EXCHANGE RATE MODELS WITH UNOBSERVABLE FUNDAMENTALS*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2006.00389.x
326,Rui Castro,"Department of Economics and CIREQ, Université de Montréal, Canada",2006/05/01,International Economic Review,ECONOMIC DEVELOPMENT UNDER ALTERNATIVE TRADE REGIMES*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2354.2006.00391.x
