Author,Affiliation,Publication Date,Journal Title,Title,URL,,,,,,,,,,,,,,,,,,,,
Govert E Bijwaard; Philip Hans Franses; Richard Paap," Econometric Institute, Erasmus University Rotterdam, 3000 DR Rotterdam, The Netherlands ;  Econometric Institute, Erasmus University Rotterdam, 3000 DR Rotterdam, The Netherlands ;  Econometric Institute, Erasmus University Rotterdam, 3000 DR Rotterdam, The Netherlands ",2006/10/1,Journal of Business & Economic Statistics,Modeling Purchases as Repeated Events,https://www.tandfonline.com/doi/abs/10.1198/073500106000000242,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Donald W. K Andrews; Jae-Young Kim," Cowles Foundation for Research in Economics, Yale University, New Haven, CT 06520-8281 ; ",2006/10/1,Journal of Business & Economic Statistics,Tests for Cointegration Breakdown Over a Short Time Period,https://www.tandfonline.com/doi/abs/10.1198/073500106000000297,,,,,,,,,,,,,,,,,,,,
Michael W Brandt; Christopher S Jones,"School of Business, Duke University, and NBER, Durham, NC 27708 ;  Marshall School of Business, University of Southern California, Los Angeles, CA 90089 ",2006/10/1,Journal of Business & Economic Statistics,Volatility Forecasting With Range-Based EGARCH Models,https://www.tandfonline.com/doi/abs/10.1198/073500106000000206,,,,,,,,,,,,,,,,,,,,
Simon C Parker; C. Mirjam van Praag," Durham Business School, Durham DH1 3LB, U.K. ;  University of Amsterdam, 1018WB Amsterdam, The Netherlands",2006/10/1,Journal of Business & Economic Statistics,"Schooling, Capital Constraints, and Entrepreneurial Performance",https://www.tandfonline.com/doi/abs/10.1198/073500106000000215,,,,,,,,,,,,,,,,,,,,
Dante Amengual; Mark W Watson," Department of Economics, Princeton University, Princeton, NJ 08544 ;  Woodrow Wilson School, Princeton University, Princeton, NJ 08544 ",2007/1/1,Journal of Business & Economic Statistics,Consistent Estimation of the Number of Dynamic Factors in a Large N and T Panel,https://www.tandfonline.com/doi/abs/10.1198/073500106000000585,,,,,,,,,,,,,,,,,,,,
Duangkamon Chotikapanich; William E Griffiths; D. S. Prasada Rao,";  Department of Economics, University of Melbourne, Melbourne, Australia;  Department of Economics, University of Queensland, Brisbane, Australia",2007/1/1,Journal of Business & Economic Statistics,Estimating and Combining National Income Distributions Using Limited Data,https://www.tandfonline.com/doi/abs/10.1198/073500106000000224,,,,,,,,,,,,,,,,,,,,
Robert H McGuckin; Ataman Ozyildirim; Victor Zarnowitz," The Conference Board Economics Program, New York, NY 10022 ;  The Conference Board Economics Program, New York, NY 10022 ;  The Conference Board Economics Program, New York, NY 10022 ",2007/1/1,Journal of Business & Economic Statistics,A More Timely and Useful Index of Leading Indicators,https://www.tandfonline.com/doi/abs/10.1198/073500106000000279,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni Urga," Faculty of Finance, Centre for Econometric Analysis, Cass Business School, London EC1Y 8TZ, U.K. ",2007/1/1,Journal of Business & Economic Statistics,Common Features in Economics and Finance,https://www.tandfonline.com/doi/abs/10.1198/073500106000000602,,,,,,,,,,,,,,,,,,,,
Vasco Carvalho; Andrew Harvey; Thomas Trimbur," Department of Economics, University of Chicago, Chicago, IL 60637;  Faculty of Economics, University of Cambridge, Cambridge CB3 9DD, U.K. ;  Division of Research and Statistics, Federal Reserve System, Washington, DC 20551",2007/1/1,Journal of Business & Economic Statistics,"A Note on Common Cycles, Common Trends, and Convergence",https://www.tandfonline.com/doi/abs/10.1198/073500106000000431,,,,,,,,,,,,,,,,,,,,
Jushan Bai; Serena Ng,";  Department of Economics, University of Michigan, Ann Arbor, MI 48109 ",2007/1/1,Journal of Business & Economic Statistics,Determining the Number of Primitive Shocks in Factor Models,https://www.tandfonline.com/doi/abs/10.1198/073500106000000413,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Niels Haldrup; Svend Hylleberg; Gabriel Pons; Andreu Sansó," Department of Economics, University of Aarhus, Building 322, DK-8000 Aarhus C, Denmark ;  Department of Economics, University of Aarhus, Building 322, DK-8000 Aarhus C, Denmark ;  Institute of Economics, University of Copenhagen, and AKF, Institute of Local Government Studies, Nyropsgade 37, DK-1602 Copenhagen, Denmark ; de Mallorca, Spain ",2007/1/1,Journal of Business & Economic Statistics,Common Periodic Correlation Features and the Interaction of Stocks and Flows in Daily Airport Data,https://www.tandfonline.com/doi/abs/10.1198/073500106000000459,,,,,,,,,,,,,,,,,,,,
David F Hendry; Michael Massmann," Department of Economics, University of Oxford, Oxford OX1 3UQ, U.K. ;  Department of Economics, University of Bonn, 53113 Bonn, Germany ",2007/1/1,Journal of Business & Economic Statistics,Co-Breaking,https://www.tandfonline.com/doi/abs/10.1198/073500106000000422,,,,,,,,,,,,,,,,,,,,
Heather M Anderson; Farshid Vahid,; ,2007/1/1,Journal of Business & Economic Statistics,Forecasting the Volatility of Australian Stock Returns,https://www.tandfonline.com/doi/abs/10.1198/073500106000000440,,,,,,,,,,,,,,,,,,,,
Markku Lanne; Pentti Saikkonen," Department of Economics, University of Helsinki, Finland ;  Department of Mathematics and Statistics, University of Helsinki, Finland ",2007/1/1,Journal of Business & Economic Statistics,A Multivariate Generalized Orthogonal Factor GARCH Model,https://www.tandfonline.com/doi/abs/10.1198/073500106000000404,,,,,,,,,,,,,,,,,,,,
Marco Del Negro; Frank Schorfheide; Frank Smets; Rafael Wouters," Federal Reserve Bank of Atlanta, Atlanta, GA 30309 ;  Department of Economics, University of Pennsylvania, Philadelphia, PA 19104 ;  European Central Bank, D-60311 Frankfurt, Germany ;  National Bank of Belgium, B-1000 Bruxelles, Belgium ",2007/4/1,Journal of Business & Economic Statistics,On the Fit of New Keynesian Models,https://www.tandfonline.com/doi/abs/10.1198/073500107000000016,,,,,,,,,,,,,,,,,,,,
A. Ronald Gallant,"School of Business, Durham, NC 27708 ",2007/4/1,Journal of Business & Economic Statistics,Comment,https://www.tandfonline.com/doi/abs/10.1198/073500107000000034,,,,,,,,,,,,,,,,,,,,
Marco Del Negro; Frank Schorfheide; Frank Smets; Rafael Wouters," Federal Reserve Bank of Atlanta, Atlanta, GA 30309 ;  Department of Economics, University of Pennsylvania, Philadelphia, PA 19104 ;  European Central Bank, D-60311 Frankfurt, Germany ;  National Bank of Belgium, B-1000 Bruxelles, Belgium ",2007/4/1,Journal of Business & Economic Statistics,Rejoinder,https://www.tandfonline.com/doi/abs/10.1198/073500107000000070,,,,,,,,,,,,,,,,,,,,
Jon Faust," Economics Dept., Johns Hopkins University, Baltimore, MD 21218 ",2007/4/1,Journal of Business & Economic Statistics,Comment,https://www.tandfonline.com/doi/abs/10.1198/073500107000000043,,,,,,,,,,,,,,,,,,,,
Christopher A Sims," Department of Economics, Princeton University, Princeton, NJ 08544 ",2007/4/1,Journal of Business & Economic Statistics,Comment,https://www.tandfonline.com/doi/abs/10.1198/073500107000000052,,,,,,,,,,,,,,,,,,,,
Gianni Amisano; Raffaella Giacomini," Department of Economics, University of Brescia, Brescia, Italy ;  Department of Economics, University of California, Los Angeles, CA 90095-1477 ",2007/4/1,Journal of Business & Economic Statistics,Comparing Density Forecasts via Weighted Likelihood Ratio Tests,https://www.tandfonline.com/doi/abs/10.1198/073500106000000332,,,,,,,,,,,,,,,,,,,,
Refet S Gürkaynak; Brian P Sack; Eric T Swanson," Economics Department, Bilkent University, Ankara, Turkey ;  Macroeconomic Advisers LLC, Washington, DC 20006 ;  Economic Research, Federal Reserve Bank of San Francisco, San Francisco, CA 94105 ",2007/4/1,Journal of Business & Economic Statistics,Market-Based Measures of Monetary Policy Expectations,https://www.tandfonline.com/doi/abs/10.1198/073500106000000387,,,,,,,,,,,,,,,,,,,,
Shawn Ni; Dongchu Sun; Xiaoqian Sun," Department of Economics, University of Missouri, Columbia, MO 65211 ; Tech, Blacksburg, VA 24061;  Department of Statistics, University of Missouri, Columbia, MO 65211",2007/4/1,Journal of Business & Economic Statistics,Intrinsic Bayesian Estimation of Vector Autoregression Impulse Responses,https://www.tandfonline.com/doi/abs/10.1198/073500106000000378,,,,,,,,,,,,,,,,,,,,
Supawat Rungsuriyawiboon; Spiro E Stefanou," Faculty of Economics, Chiang Mai University, Chiang Mai, Thailand 50200 ; State University, 208-B Armsby, University Park, PA 16802 ",2007/4/1,Journal of Business & Economic Statistics,Dynamic Efficiency Estimation,https://www.tandfonline.com/doi/abs/10.1198/073500106000000288,,,,,,,,,,,,,,,,,,,,
Lutz Kilian," Department of Economics, University of Michigan, Ann Arbor, MI 48109 ",2007/4/1,Journal of Business & Economic Statistics,Comment,https://www.tandfonline.com/doi/abs/10.1198/073500107000000025,,,,,,,,,,,,,,,,,,,,
Lawrence J Christiano," Department of Economics, Northwestern University, Evanston, IL 60208; National Bureau of Economic Research ",2007/4/1,Journal of Business & Economic Statistics,Comment,https://www.tandfonline.com/doi/abs/10.1198/073500107000000061,,,,,,,,,,,,,,,,,,,,
Mick Silver; Saeed Heravi," Statistics Department, International Monetary Fund, Washington, DC 20431 ;  Cardiff University, Business School, Cardiff CF10 3EU, U.K. ",2007/4/1,Journal of Business & Economic Statistics,The Difference Between Hedonic Imputation Indexes and Time Dummy Hedonic Indexes,https://www.tandfonline.com/doi/abs/10.1198/073500106000000486,,,,,,,,,,,,,,,,,,,,
Sean D Campbell," Board of Governors of the Federal Reserve System, Washington, DC 20551",2007/4/1,Journal of Business & Economic Statistics,"Macroeconomic Volatility, Predictability, and Uncertainty in the Great Moderation",https://www.tandfonline.com/doi/abs/10.1198/073500106000000558,,,,,,,,,,,,,,,,,,,,
Albert J Menkveld; Siem Jan Koopman; André Lucas," Department of Finance, Vrije Universiteit, Amsterdam, The Netherlands, NL-1081HV ;  Department of Econometrics and Tinbergen Institute, Vrije Universiteit, Amsterdam, The Netherlands, NL-1081HV ;  Department of Finance and Tinbergen Institute, Vrije Universiteit, Amsterdam, The Netherlands, NL-1081HV ",2007/4/1,Journal of Business & Economic Statistics,Modeling Around-the-Clock Price Discovery for Cross-Listed Stocks Using State Space Methods,https://www.tandfonline.com/doi/abs/10.1198/073500106000000594,,,,,,,,,,,,,,,,,,,,
Paul J Devereux," School of Economics, UCD Dublin, Belfield, Dublin 4, Ireland ",2007/7/1,Journal of Business & Economic Statistics,Improved Errors-in-Variables Estimators for Grouped Data,https://www.tandfonline.com/doi/abs/10.1198/073500106000000189,,,,,,,,,,,,,,,,,,,,
Olivier Deschênes,"Barbara, CA 93106 ",2007/7/1,Journal of Business & Economic Statistics,Estimating the Effects of Family Background on the Return to Schooling,https://www.tandfonline.com/doi/abs/10.1198/073500106000000567,,,,,,,,,,,,,,,,,,,,
Denis Fougère; Hervé Le Bihan; Patrick Sevestre," CNRS, CREST?�INSEE, Banque de France, Paris, France, CEPR, London, and IZA, Bonn ;  Banque de France, Paris, France ;  Paris School of Economics, Université Paris-I Panthéon-Sorbonne and Banque de France, Paris, France ",2007/7/1,Journal of Business & Economic Statistics,Heterogeneity in Consumer Price Stickiness,https://www.tandfonline.com/doi/abs/10.1198/073500107000000214,,,,,,,,,,,,,,,,,,,,
Alessandro Tarozzi," Department of Economics, Duke University, Durham, NC 27708 ",2007/7/1,Journal of Business & Economic Statistics,"Calculating Comparable Statistics From Incomparable Surveys, With an Application to Poverty in India",https://www.tandfonline.com/doi/abs/10.1198/073500106000000233,,,,,,,,,,,,,,,,,,,,
Ralph Bradley," U.S. Bureau of Labor Statistics, Washington, DC 20212 ",2007/7/1,Journal of Business & Economic Statistics,Analytical Bias Reduction for Small Samples in the U.S. Consumer Price Index,https://www.tandfonline.com/doi/abs/10.1198/073500106000000639,,,,,,,,,,,,,,,,,,,,
Hansheng Wang; Guodong Li; Guohua Jiang,100871 ; ; 100871 ,2007/7/1,Journal of Business & Economic Statistics,Robust Regression Shrinkage and Consistent Variable Selection Through the LAD-Lasso,https://www.tandfonline.com/doi/abs/10.1198/073500106000000251,,,,,,,,,,,,,,,,,,,,
Z. L Yang; Y. K Tse," School of Economics, Singapore Management University, 90 Stamford Road, Singapore 178903 ;  School of Economics, Singapore Management University, 90 Stamford Road, Singapore 178903 ",2007/7/1,Journal of Business & Economic Statistics,A Corrected Plug-in Method for Quantile Interval Construction Through a Transformed Regression,https://www.tandfonline.com/doi/abs/10.1198/073500106000000684,,,,,,,,,,,,,,,,,,,,
Brian V Krauth,,2007/7/1,Journal of Business & Economic Statistics,Peer and Selection Effects on Youth Smoking in California,https://www.tandfonline.com/doi/abs/10.1198/073500106000000396,,,,,,,,,,,,,,,,,,,,
Gary Benedetto; John Haltiwanger; Julia Lane; Kevin McKinney," Department of Economics, University of Maryland, College Park, MD 20742 ;  Department of Economics, University of Maryland, College Park, MD 20742 ;  Department of Economics, Labor and Population, NORC/University of Chicago, Chicago, IL 60603 ;  Longitudinal Employer Household Dynamics Program, U.S. Census Bureau, Suitland, MD 20746 ",2007/7/1,Journal of Business & Economic Statistics,Using Worker Flows to Measure Firm Dynamics,https://www.tandfonline.com/doi/abs/10.1198/073500106000000620,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Yi-Ting Chen,"Sinica, Taipei 115, Taiwan ",2007/10/1,Journal of Business & Economic Statistics,Moment-Based Copula Tests for Financial Returns,https://www.tandfonline.com/doi/abs/10.1198/073500107000000115,,,,,,,,,,,,,,,,,,,,
Richard T Baillie; George Kapetanios," Departments of Economics and Finance, Michigan State University, East Lansing, MI 48824, and Department of Economics, Queen Mary University of London, London E1 4NS, U.K. ;  Department of Economics, Queen Mary University of London, London E1 4NS, U.K. ",2007/10/1,Journal of Business & Economic Statistics,Testing for Neglected Nonlinearity in Long-Memory Models,https://www.tandfonline.com/doi/abs/10.1198/073500106000000305,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Morten ?rregaard Nielsen," Department of Economics, Cornell University, Ithaca, NY 14853 ",2007/10/1,Journal of Business & Economic Statistics,Local Whittle Analysis of Stationary Fractional Cointegration and the Implied?�Realized Volatility Relation,https://www.tandfonline.com/doi/abs/10.1198/073500106000000314,,,,,,,,,,,,,,,,,,,,
Margaret S Loudermilk," University of Illinois, Institute for Health Research and Policy, Chicago, IL 60608 ",2007/10/1,Journal of Business & Economic Statistics,Estimation of Fractional Dependent Variables in Dynamic Panel Data Models With an Application to Firm Dividend Policy,https://www.tandfonline.com/doi/abs/10.1198/073500107000000098,,,,,,,,,,,,,,,,,,,,
Rolf Larsson; Johan Lyhagen,"University, Uppsala, Sweden ; University, Uppsala, Sweden ",2007/10/1,Journal of Business & Economic Statistics,Inference in Panel Cointegration Models With Long Panels,https://www.tandfonline.com/doi/abs/10.1198/073500106000000549,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Marie-Claude Beaulieu; Jean-Marie Dufour; Lynda Khalaf,G1K 7P4 ; H3C 3J7 ; K1S 5B6 ,2007/10/1,Journal of Business & Economic Statistics,Multivariate Tests of Mean?�Variance Efficiency With Possibly Non-Gaussian Errors,https://www.tandfonline.com/doi/abs/10.1198/073500106000000468,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sílvio Rendon," Centro de Investigación Económica?�Instituto Tecnológico Autónomo de México (ITAM), Mexico D.F. 10700, Mexico ",2007/10/1,Journal of Business & Economic Statistics,Does Wealth Explain Black?�White Differences in Early Employment Careers?,https://www.tandfonline.com/doi/abs/10.1198/073500107000000124,,,,,,,,,,,,,,,,,,,,
Mikhail Chernov,"Business School, New York, NY 10027, and Finance Area, London Business School, London, NW1 4SA, U.K. ",2007/10/1,Journal of Business & Economic Statistics,On the Role of Risk Premia in Volatility Forecasting,https://www.tandfonline.com/doi/abs/10.1198/073500106000000350,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelle Chauvet; Jeremy Piger," Department of Economics, University of California, Riverside, CA 92521 ;  Department of Economics, University of Oregon, Eugene, OR 97403 ",2008/1/1,Journal of Business & Economic Statistics,A Comparison of the Real-Time Performance of Business Cycle Dating Methods,https://www.tandfonline.com/doi/abs/10.1198/073500107000000296,,,,,,,,,,,,,,,,,,,,
Sylvia Fröhwirth-Schnatter; Sylvia Kaufmann,";  Economic Studies Division, Oesterreichische Nationalbank, Vienna, Austria",2008/1/1,Journal of Business & Economic Statistics,Model-Based Clustering of Multiple Time Series,https://www.tandfonline.com/doi/abs/10.1198/073500107000000106,,,,,,,,,,,,,,,,,,,,
Andreas Brezger; Winfried J Steiner," Department of Statistics, University of Munich, Munich, Germany;  Department of Marketing, Institute of Management and Economics, Technical University of Clausthal, Clausthal-Zellerfeld, Germany ",2008/1/1,Journal of Business & Economic Statistics,Monotonic Regression Based on Bayesian P?�Splines,https://www.tandfonline.com/doi/abs/10.1198/073500107000000223,,,,,,,,,,,,,,,,,,,,
Ruxandra Prodan," Department of Economics, University of Houston, Houston, TX 77004 ",2008/1/1,Journal of Business & Economic Statistics,Potential Pitfalls in Determining Multiple Structural Changes With an Application to Purchasing Power Parity,https://www.tandfonline.com/doi/abs/10.1198/073500107000000304,,,,,,,,,,,,,,,,,,,,
Serena Ng," Department of Economics, University of Michigan, Ann Arbor, MI 48109 ",2008/1/1,Journal of Business & Economic Statistics,A Simple Test for Nonstationarity in Mixed Panels,https://www.tandfonline.com/doi/abs/10.1198/073500106000000675,,,,,,,,,,,,,,,,,,,,
George Kapetanios; Vincent Labhard; Simon Price," Queen Mary University of London, London E1 4NS, U.K. ;  European Central Bank, D-60311 Frankfurt, Germany ;  Bank of England, London EC2R 8AH, U.K.; City University, London EC1V 0HB, U.K. ",2008/1/1,Journal of Business & Economic Statistics,Forecasting Using Bayesian and Information-Theoretic Model Averaging,https://www.tandfonline.com/doi/abs/10.1198/073500107000000232,,,,,,,,,,,,,,,,,,,,
Paolo Giordani; Robert Kohn," Research Department, Swedish Central Bank ;  Australian School of Business, University of New South Wales ",2008/1/1,Journal of Business & Economic Statistics,Efficient Bayesian Inference for Multiple Change-Point and Mixture Innovation Models,https://www.tandfonline.com/doi/abs/10.1198/073500107000000241,,,,,,,,,,,,,,,,,,,,
Hwan-Sik Choi; Nicholas M Kiefer," Department of Economics, Cornell University, Ithaca, NY 14853 ;  Departments of Economics and Statistical Science, Cornell University, Ithaca, NY 14853 ",2008/1/1,Journal of Business & Economic Statistics,Robust Nonnested Testing and the Demand for Money,https://www.tandfonline.com/doi/abs/10.1198/073500107000000179,,,,,,,,,,,,,,,,,,,,
Richard Startz," Department of Economics, University of Washington, Seattle, WA 98195 ",2008/1/1,Journal of Business & Economic Statistics,Binomial Autoregressive Moving Average Models With an Application to U.S. Recessions,https://www.tandfonline.com/doi/abs/10.1198/073500107000000151,,,,,,,,,,,,,,,,,,,,
Mahmut Yasar; Catherine J Morrison Paul," Department of Economics, University of Texas at Arlington, Arlington, TX 76019 ;  Department of Agricultural and Resource Economics and the Giannini Foundation, University of California, Davis, CA 95616 ",2008/1/1,Journal of Business & Economic Statistics,Foreign Technology Transfer and Productivity,https://www.tandfonline.com/doi/abs/10.1198/073500107000000197,,,,,,,,,,,,,,,,,,,,
Christophe Planas; Alessandro Rossi; Gabriele Fiorentini,"(VA), Italy ; (VA), Italy ;  Department of Statistics, University of Florence, 50134 Florence (FI), Italy ",2008/1/1,Journal of Business & Economic Statistics,Bayesian Analysis of the Output Gap,https://www.tandfonline.com/doi/abs/10.1198/073500106000000576,,,,,,,,,,,,,,,,,,,,
Kenneth D Roskelley,"Tech University, Ruston, LA 71272 ",2008/4/1,Journal of Business & Economic Statistics,Cromwell's Rule and the Role of the Prior in the Economic Metric,https://www.tandfonline.com/doi/abs/10.1198/073500107000000160,,,,,,,,,,,,,,,,,,,,
George Athanasopoulos; Farshid Vahid,";  School of Economics, Australian National University, Canberra, ACT, 0200, Australia",2008/4/1,Journal of Business & Economic Statistics,VARMA versus VAR for Macroeconomic Forecasting,https://www.tandfonline.com/doi/abs/10.1198/073500107000000313,,,,,,,,,,,,,,,,,,,,
Arek Ohanissian; Jeffrey R Russell; Ruey S Tsay," Graduate School of Business, University of Chicago, Chicago, IL 60637 ;  Graduate School of Business, University of Chicago, Chicago, IL 60637 ;  Graduate School of Business, University of Chicago, Chicago, IL 60637 ",2008/4/1,Journal of Business & Economic Statistics,True or Spurious Long Memory? A New Test,https://www.tandfonline.com/doi/abs/10.1198/073500107000000340,,,,,,,,,,,,,,,,,,,,
Tong Yao," Department of Finance, University of Arizona, Tucson, AZ 85721 ",2008/4/1,Journal of Business & Economic Statistics,Dynamic Factors and the Source of Momentum Profits,https://www.tandfonline.com/doi/abs/10.1198/073500106000000648,,,,,,,,,,,,,,,,,,,,
Motohiro Yogo," The Wharton School, University of Pennsylvania, Philadelphia, PA 19104, and the National Bureau of Economic Research, Cambridge, MA 02138 ",2008/4/1,Journal of Business & Economic Statistics,Asset Prices Under Habit Formation and Reference-Dependent Preferences,https://www.tandfonline.com/doi/abs/10.1198/073500107000000205,,,,,,,,,,,,,,,,,,,,
Geetesh Bhardwaj; Valentina Corradi; Norman R Swanson," Bates and White, San Diego, CA 92130 ;  Department of Economics, University of Warwick, Coventry CV4 7AL, U.K. ;  Department of Economics, Rutgers University, New Brunswick, NJ 08901 ",2008/4/1,Journal of Business & Economic Statistics,A Simulation-Based Specification Test for Diffusion Processes,https://www.tandfonline.com/doi/abs/10.1198/073500107000000412,,,,,,,,,,,,,,,,,,,,
Thomas Lux," Department of Economics, University of Kiel, 24118 Kiel, Germany ",2008/4/1,Journal of Business & Economic Statistics,The Markov-Switching Multifractal Model of Asset Returns,https://www.tandfonline.com/doi/abs/10.1198/073500107000000403,,,,,,,,,,,,,,,,,,,,
Shanshan Wang; Wolfgang Jank; Galit Shmueli," Department of Mathematics, University of Maryland, College Park, MD 20742 ;  Department of Decision and Information Technologies, Robert H. Smith School of Business, University of Maryland, College Park, MD 20742 ;  Department of Decision and Information Technologies, Robert H. Smith School of Business, University of Maryland, College Park, MD 20742 ",2008/4/1,Journal of Business & Economic Statistics,Explaining and Forecasting Online Auction Prices and Their Dynamics Using Functional Data Analysis,https://www.tandfonline.com/doi/abs/10.1198/073500106000000477,,,,,,,,,,,,,,,,,,,,
Yangseon Kim; Peter Schmidt," Research and Economic Analysis Division, State of Hawaii, Honolulu, HI 96813 ;  Department of Economics, Michigan State University, East Lansing, MI 48824 ",2008/4/1,Journal of Business & Economic Statistics,Marginal Comparisons With the Best and the Efficiency Measurement Problem,https://www.tandfonline.com/doi/abs/10.1198/073500107000000331,,,,,,,,,,,,,,,,,,,,
Thierry Magnac," Toulouse School of Economics, Toulouse, France",2008/7/1,Journal of Business & Economic Statistics,Comment,https://www.tandfonline.com/doi/abs/10.1198/073500108000000141,,,,,,,,,,,,,,,,,,,,
Blake McShane; Moshe Adrian; Eric T Bradlow; Peter S Fader," Department of Statistics, Wharton School, University of Pennsylvania, Philadelphia, PA 19104;  Department of Mathematics, University of Maryland, College Park, MD 20742;  Department of Marketing, Wharton School, University of Pennsylvania, Philadelphia, PA 19104 ;  Department of Marketing, Wharton School, University of Pennsylvania, Philadelphia, PA 19104 ",2008/7/1,Journal of Business & Economic Statistics,Count Models Based on Weibull Interarrival Times,https://www.tandfonline.com/doi/abs/10.1198/073500107000000278,,,,,,,,,,,,,,,,,,,,
Francesca Molinari; Adam M. Rosen," Department of Economics, Cornell University, Ithaca, NY 14853;  Department of Economics, University College London, London Wc1E 6BT, U.K.",2008/7/1,Journal of Business & Economic Statistics,Comment,https://www.tandfonline.com/doi/abs/10.1198/073500108000000088,,,,,,,,,,,,,,,,,,,,
Han Hong," Department of Economics, Stanford University, Stanford, CA 94022",2008/7/1,Journal of Business & Economic Statistics,Comment,https://www.tandfonline.com/doi/abs/10.1198/073500108000000132,,,,,,,,,,,,,,,,,,,,
Victor Aguirregabiria," Department of Economics, University of Toronto, Toronto, Ontario M5S 3G7, Canada",2008/7/1,Journal of Business & Economic Statistics,Comment,https://www.tandfonline.com/doi/abs/10.1198/073500108000000114,,,,,,,,,,,,,,,,,,,,
Patrick Bajari," Department of Economics, University of Minnesota, Minneapolis, MN 55455",2008/7/1,Journal of Business & Economic Statistics,Comment,https://www.tandfonline.com/doi/abs/10.1198/073500108000000123,,,,,,,,,,,,,,,,,,,,
Andres Aradillas-Lopez; Elie Tamer," Department of Economics, Princeton University, Princeton, NJ 08544;  Department of Economics, Northwestern University, Evanston, IL 60208 ",2008/7/1,Journal of Business & Economic Statistics,Rejoinder,https://www.tandfonline.com/doi/abs/10.1198/073500108000000169,,,,,,,,,,,,,,,,,,,,
Edna Schechtman; Shlomo Yitzhaki; Yevgeny Artsev," Department of Industrial Engineering and Management, Ben-Gurion University, Beer Sheva, Israel ;  Hebrew University and Central Bureau of Statistics, Jerusalem 95464, Israel ;  Central Bureau of Statistics, Jerusalem 95464, Israel ",2008/7/1,Journal of Business & Economic Statistics,Who Does Not Respond in the Household Expenditure Survey,https://www.tandfonline.com/doi/abs/10.1198/00,,,,,,,,,,,,,,,,,,,,
Johannes Van Biesebroeck,,2008/7/1,Journal of Business & Economic Statistics,The Sensitivity of Productivity Estimates,https://www.tandfonline.com/doi/abs/10.1198/073500107000000089,,,,,,,,,,,,,,,,,,,,
Andres Aradillas-Lopez; Elie Tamer," Department of Economics, Princeton University, Princeton, NJ 08544;  Department of Economics, Northwestern University, Evanston, IL 60208 ",2008/7/1,Journal of Business & Economic Statistics,The Identification Power of Equilibrium in Simple Games,https://www.tandfonline.com/doi/abs/10.1198/073500108000000105,,,,,,,,,,,,,,,,,,,,
Pierluigi Balduzzi; Cesare Robotti," Boston College, Finance Department, The Wallace E. Carroll School of Management, Chestnut Hill, MA 02467 ;  Federal Reserve Bank of Atlanta, Research Department, 1000 Peachtree Street NE, Atlanta, GA 30309 ",2008/7/1,Journal of Business & Economic Statistics,"Mimicking Portfolios, Economic Risk Premia, and Tests of Multi-Beta Models",https://www.tandfonline.com/doi/abs/10.1198/073500108000000042,,,,,,,,,,,,,,,,,,,,
Allan Collard-Wexler," Department of Economics, Stern School of Business, New York University, New York, NY 10012",2008/7/1,Journal of Business & Economic Statistics,Comment,https://www.tandfonline.com/doi/abs/10.1198/073500108000000150,,,,,,,,,,,,,,,,,,,,
Shakeeb Khan," Department of Economics, Duke University, Durham, NC ",2008/7/1,Journal of Business & Economic Statistics,Comment,https://www.tandfonline.com/doi/abs/10.1198/073500108000000097,,,,,,,,,,,,,,,,,,,,
Sougata Kerr; Lucia Dunn," Consumer Risk Modeling and Analytics, JP Morgan and Chase Co., Columbus, OH 43240 ;  Department of Economics, Ohio State University, Columbus, OH 43210 ",2008/7/1,Journal of Business & Economic Statistics,Consumer Search Behavior in the Changing Credit Card Market,https://www.tandfonline.com/doi/abs/10.1198/073500107000000133,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Abrevaya; Christian M Dahl," Department of Economics, University of Texas, Austin, TX 78712 ;  CREATES and School of Economics and Management, University of Aarhus, Aarhus, Denmark ",2008/10/1,Journal of Business & Economic Statistics,The Effects of Birth Inputs on Birthweight,https://www.tandfonline.com/doi/abs/10.1198/073500107000000269,,,,,,,,,,,,,,,,,,,,
Qi Li; Jeffrey S Racine,"University, PRC; L8S 4M4 ",2008/10/1,Journal of Business & Economic Statistics,Nonparametric Estimation of Conditional CDF and Quantile Functions With Mixed Categorical and Continuous Data,https://www.tandfonline.com/doi/abs/10.1198/073500107000000250,,,,,,,,,,,,,,,,,,,,
Ryan D Edwards," Department of Economics, Queens College, CUNY, Flushing, NY 11367 ",2008/10/1,Journal of Business & Economic Statistics,Health Risk and Portfolio Choice,https://www.tandfonline.com/doi/abs/10.1198/073500107000000287,,,,,,,,,,,,,,,,,,,,
